date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Odisha,Cuttack,753004,11,72
01-03-2025,Odisha,Jajpur,755008,93,162
01-03-2025,Odisha,Khordha,752064,49,121
01-03-2025,Odisha,Khordha,751002,244,380
01-03-2025,Odisha,Angul,759117,133,229
01-03-2025,Odisha,Angul,759040,20,39
01-03-2025,Odisha,Khordha,751010,11,82
01-03-2025,Odisha,Malkangiri,764044,1042,993
01-03-2025,Odisha,Balasore,756036,126,159
01-03-2025,Odisha,Balangir,767035,10,151
01-03-2025,Odisha,Balasore,756047,11,46
01-03-2025,Odisha,Jagatsinghpur,754135,29,67
01-03-2025,Odisha,Deogarh,768109,153,350
01-03-2025,Odisha,Nuapada,766105,247,884
01-03-2025,Odisha,Dhenkanal,759017,214,268
01-03-2025,Odisha,Nayagarh,752065,22,29
01-03-2025,Odisha,Ganjam,761132,121,184
01-03-2025,Odisha,Mayurbhanj,757087,212,279
01-03-2025,Odisha,Jharsuguda,768215,20,46
01-03-2025,Odisha,Khordha,751030,76,122
01-03-2025,Odisha,Cuttack,754032,199,465
01-03-2025,Odisha,Jajpur,754024,19,41
01-03-2025,Odisha,Jajpur,754205,24,71
01-03-2025,Odisha,Koraput,764036,622,585
01-03-2025,Odisha,Boudh,762015,232,440
01-03-2025,Odisha,Bargarh,768103,145,292
01-03-2025,Odisha,Jagatsinghpur,754119,120,261
01-03-2025,Odisha,Subarnapur,767062,131,285
01-03-2025,Odisha,Bargarh,768035,67,161
01-03-2025,Odisha,Jajpur,754082,14,43
01-03-2025,Odisha,Puri,752104,10,52
01-03-2025,Odisha,Bhadrak,756112,15,38
01-03-2025,Odisha,Puri,752002,339,685
01-03-2025,Odisha,Ganjam,761123,92,166
01-03-2025,Odisha,Cuttack,753002,39,108
01-03-2025,Odisha,Ganjam,760008,40,53
01-03-2025,Odisha,Boudh,762016,199,479
01-03-2025,Odisha,Mayurbhanj,757054,122,147
01-03-2025,Odisha,Sambalpur,768004,106,125
01-03-2025,Odisha,Balangir,767029,147,269
01-03-2025,Odisha,Ganjam,760002,144,207
01-03-2025,Odisha,Jagatsinghpur,754139,12,103
01-03-2025,Odisha,Puri,752106,147,233
01-03-2025,Odisha,Mayurbhanj,757038,352,467
01-03-2025,Odisha,Boudh,762013,64,127
01-03-2025,Odisha,Puri,752109,141,223
01-03-2025,Odisha,Ganjam,761114,47,120
01-03-2025,Odisha,Sambalpur,768016,87,64
01-03-2025,Odisha,Ganjam,760006,110,106
01-03-2025,Odisha,Khordha,752056,12,90
01-03-2025,Odisha,Cuttack,754018,46,100
01-03-2025,Odisha,Sundargarh,769012,25,67
01-03-2025,Odisha,Khordha,752100,17,9
01-03-2025,Odisha,Sundargarh,769015,62,92
01-03-2025,Odisha,Jajpur,754296,21,67
01-03-2025,Odisha,Bargarh,768039,130,400
